image_name,model,prompt_id,image_valid,flood_detected,flood_level,fraud_suspected,confidence,evidence_quality,water_coverage,scene_consistency,manipulation_probability,ai_generated_probability,reason,error
image-17.webp,qwen/qwen3-vl-8b,forensic_detailed,True,True,moderado,False,0.95,high,medium,0.92,0.02,0.01,"Imagem real com alagamento moderado, iluminação e sombras coerentes, sem sinais de manipulação ou IA.",
image-17.webp,qwen/qwen3-vl-8b,flood_minimal,True,True,moderado,False,0.95,high,medium,0.98,0.02,0.01,"água cobre parcialmente a via, com veículos afetados e reflexos coerentes",
image-17.webp,mistralai/ministral-3-3b,forensic_detailed,True,False,none,False,0.95,medium,small,0.85,0.0,0.0,"Imagem real de um ambiente urbano com chuva, sem evidências claras de alagamento significativo. Água apenas visível em pequenas quantidades nas calçadas molhadas, não formando lama ou acumulação relevante. Nenhum sinal de manipulação digital ou IA.",
image-17.webp,mistralai/ministral-3-3b,flood_minimal,True,False,none,False,0.95,high,small,1.0,0.0,0.0,"Água visível apenas em pequenas áreas de calçada e vias, sem evidências significativas de alagamento generalizado ou manipulação",
image-30.png,qwen/qwen3-vl-8b,forensic_detailed,True,False,none,False,0.98,high,none,1.0,0.0,0.0,"Imagem real, sem alagamento, sem sinais de manipulacao ou IA.",
image-30.png,qwen/qwen3-vl-8b,flood_minimal,True,False,none,False,0.99,high,none,1.0,0.0,0.0,"nenhum sinal de alagamento, cena coerente e bem iluminada",
image-30.png,mistralai/ministral-3-3b,forensic_detailed,True,False,none,False,0.95,high,none,0.98,0.0,0.0,"Imagem real de ambiente noturno sem alagamento visível. Não há sinais de manipulação digital ou IA, nem elementos artificiais que indiquem fraude.",
image-30.png,mistralai/ministral-3-3b,flood_minimal,True,False,none,False,0.0,high,none,1.0,0.0,0.0,Imagem clara de uma rua noturna sem evidências visíveis de alagamento ou água,
image-38.webp,qwen/qwen3-vl-8b,forensic_detailed,True,True,moderado,False,0.95,high,large,0.92,0.02,0.01,"Imagem real com alagamento moderado, água cobrindo grande parte da área, reflexos naturais e consistência física da cena.",
image-38.webp,qwen/qwen3-vl-8b,flood_minimal,,,,,,,,,,,,"HTTP ao chamar o modelo 'qwen/qwen3-vl-8b': HTTP 400 ao chamar o modelo: {""error"":""The model has crashed without additional information. (Exit code: 18446744072635810000)""}"
image-38.webp,mistralai/ministral-3-3b,forensic_detailed,True,True,moderado,False,0.95,medium,small,0.85,0.0,0.0,"Imagem real de alagamento moderado com água cobrindo parte do solo e objetos flutuantes, sem sinais de manipulação digital ou IA",
image-38.webp,mistralai/ministral-3-3b,flood_minimal,True,True,moderado,False,0.85,high,medium,0.9,0.02,0.01,"Água visível em nível moderado, evidências naturais de inundação e detritos confirmam alagamento real",
image-54.png,qwen/qwen3-vl-8b,forensic_detailed,True,False,none,False,0.98,high,small,0.95,0.01,0.0,"Imagem real de um parque com lago, sem alagamento urbano, qualidade alta e sem sinais de manipulacao.",
image-54.png,qwen/qwen3-vl-8b,flood_minimal,,,,,,,,,,,,"HTTP ao chamar o modelo 'qwen/qwen3-vl-8b': HTTP 400 ao chamar o modelo: {""error"":""The model has crashed without additional information. (Exit code: 18446744072635810000)""}"
image-54.png,mistralai/ministral-3-3b,forensic_detailed,True,False,none,False,0.95,high,small,0.87,0.01,0.02,"Imagem real de um ambiente natural com pequena cobertura d'água em área próxima a uma margem, sem sinais de manipulação digital ou alagamento urbano significativo.",
image-54.png,mistralai/ministral-3-3b,flood_minimal,True,False,none,False,0.0,high,small,1.0,0.0,0.0,Área de água ao fundo é rasa e não evidencia alagamento significativo; cena coerente com ambiente natural,
image-55.jpg,qwen/qwen3-vl-8b,forensic_detailed,,,,,,,,,,,,"HTTP ao chamar o modelo 'qwen/qwen3-vl-8b': HTTP 400 ao chamar o modelo: {""error"":""request (4353 tokens) exceeds the available context size (4096 tokens), try increasing it""}"
image-55.jpg,qwen/qwen3-vl-8b,flood_minimal,,,,,,,,,,,,timed out
image-55.jpg,mistralai/ministral-3-3b,forensic_detailed,True,True,moderado,False,0.95,medium,small,0.85,0.0,0.0,"Imagem real de alagamento moderado com água cobrindo parte da calçada e ruas adjacentes, sem sinais de manipulação digital ou IA",
image-55.jpg,mistralai/ministral-3-3b,flood_minimal,True,True,moderado,False,0.85,high,medium,0.9,0.01,0.02,"Área inundada com água até cerca de metade da profundidade do solo, evidência clara de alagamento em terreno plano e sem sinais de manipulação",
image-62.jpg,qwen/qwen3-vl-8b,forensic_detailed,,,,,,,,,,,,"HTTP ao chamar o modelo 'qwen/qwen3-vl-8b': HTTP 400 ao chamar o modelo: {""error"":""request (4353 tokens) exceeds the available context size (4096 tokens), try increasing it""}"
image-62.jpg,qwen/qwen3-vl-8b,flood_minimal,True,True,moderado,False,0.95,high,large,0.98,0.02,0.01,"Água visível cobrindo grande parte da via, com pessoas e veículos afetados, indicando alagamento moderado.",
image-62.jpg,mistralai/ministral-3-3b,forensic_detailed,True,True,moderado,False,0.95,high,medium,0.87,0.02,0.01,"Imagem real de rua alagada com água cobrindo parte significativa da calçada e ruas, sem sinais evidentes de manipulação digital ou IA. Qualidade alta para análise forense visual.",
image-62.jpg,mistralai/ministral-3-3b,flood_minimal,True,True,moderado,False,0.95,high,medium,0.85,0.02,0.01,"Água cobrindo parte significativa da rua, nível moderado de inundação, sem sinais evidentes de manipulação",
image-65.jpg,qwen/qwen3-vl-8b,forensic_detailed,,,,,,,,,,,,"HTTP ao chamar o modelo 'qwen/qwen3-vl-8b': HTTP 400 ao chamar o modelo: {""error"":""request (4353 tokens) exceeds the available context size (4096 tokens), try increasing it""}"
image-65.jpg,qwen/qwen3-vl-8b,flood_minimal,True,True,moderado,False,0.95,high,large,0.98,0.02,0.01,"Água cobre grande parte da rua, refletindo luzes e impedindo o tráfego normal.",
image-65.jpg,mistralai/ministral-3-3b,forensic_detailed,True,True,moderado,False,0.95,medium,large,0.85,0.02,0.01,"Imagem real de rua alagada com água cobrindo grande parte da via, veículos parcialmente submersos e cenário urbano coerente. Sem sinais evidentes de manipulação digital ou IA.",
image-65.jpg,mistralai/ministral-3-3b,flood_minimal,True,True,moderado,False,0.95,high,large,0.85,0.02,0.01,"Água cobriu grande parte da rua, com nível suficiente para bloquear veículos e pedestres, sem sinais de manipulação",
image-80.png,qwen/qwen3-vl-8b,forensic_detailed,True,False,none,False,0.98,high,none,0.99,0.01,0.0,"Imagem de praia com areia, mar e guarda-sóis, sem sinais de alagamento ou manipulação.",
image-80.png,qwen/qwen3-vl-8b,flood_minimal,True,False,none,False,0.99,high,none,1.0,0.0,0.0,"Cena de praia com areia seca e mar visível, sem sinais de alagamento.",
image-80.png,mistralai/ministral-3-3b,forensic_detailed,True,False,none,False,1.0,high,none,1.0,0.0,0.0,"Imagem real de praia sem alagamento, sem sinais de manipulação digital ou geração por IA",
image-80.png,mistralai/ministral-3-3b,flood_minimal,True,False,none,False,0.0,high,none,1.0,0.0,0.0,"Imagem mostra praia seca sem alagamento visível, cenário coerente e sem indícios de manipulação",
